language,glottocode,family,area,latitude,longitude,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,52A Comitatives and Instrumentals,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,37A Definite Articles,38A Indefinite Articles,101A Expression of Pronominal Subjects,46A Indefinite Pronouns,43A Third Person Pronouns and Demonstratives,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,47A Intensifiers and Reflexive Pronouns,44A Gender Distinctions in Independent Personal Pronouns,32A Systems of Gender Assignment,32A Systems of Gender Assignment,112A Negative Morphemes,33A Coding of Nominal Plurality,53A Ordinal Numerals,54A Distributive Numerals,87A Order of Adjective and Noun,85A Order of Adposition and Noun Phrase,91A Order of Degree Word and Adjective,88A Order of Demonstrative and Noun,86A Order of Genitive and Noun,143A Order of Negative Morpheme and Verb,89A Order of Numeral and Noun,"84A Order of Object, Oblique, and Verb",90A Order of Relative Clause and Noun,107A Passive Constructions,106A Reciprocal Constructions,73A The Optative,71A The Prohibitive,70A The Morphological Imperative,48A Person Marking on Adpositions,93A Position of Interrogative Phrases in Content Questions,92A Position of Polar Question Particles,59A Possessive Classification,57A Position of Pronominal Possessive Affixes,24A Locus of Marking in Possessive Noun Phrases,27A Reduplication,67A The Future Tense,66A The Past Tense,65A Perfective/Imperfective Aspect,102A Verbal Person Marking,"81A Order of Subject, Object and Verb"
Amele,amel1241,Croisilles,world,-5.25,145.5833333,Neutral,Neutral,Differentiation,And identical to 'with',Differentiation,"No definite, but indefinite article",Indefinite word distinct from 'one',,Generic-noun-based,Unrelated,Three-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Mixed morphological plural,"First/one-th, two-th, three-th",No distributive numerals,Noun-Adjective,Postpositions,Adjective-Degree word,Noun-Demonstrative,Genitive-Noun,OptDoubleNeg,Noun-Numeral,XOV,Noun-Relative clause,Absent,No reciprocals,Inflectional optative absent,Special imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Final,More than five classes,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, 2-3 remoteness distinctions",No grammatical marking,Both the A and P arguments,SOV
Amur Nivkh,gily1242,Nivkh,world,53.33333333,142,Neutral,Neutral,Differentiation,,Differentiation,,,Optional pronouns in subject position,Interrogative-based,Related for non-human reference,Two-way contrast,Different inflection,,No gender distinctions,No gender,None,Negative affix,Plural suffix,"First, two, three",Marked by mixed or other strategies,Adjective-Noun,Postpositions,,Demonstrative-Noun,Genitive-Noun,OptDoubleNeg,No dominant order,,Relative clause-Noun,Absent,Distinct from reflexive,Inflectional optative absent,,Second singular and second plural,Pronouns only,Not initial interrogative phrase,Final,,Possessive prefixes,Head marking,Full reduplication only,Inflectional future exists,No past tense,No grammatical marking,No person marking,SOV
Apurin<e3>,apur1254,Apurina-Piro-I<f1>apari,world,-9,-67,Neutral,Neutral,,,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,Two-way contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,None,,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,,Second plural,No adpositions,Initial interrogative phrase,No question particle,No possessive classification,Possessive prefixes,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO
Awa-Cuaiquer,awac1239,Barbacoan,world,1.5,-78.25,Nominative - accusative (standard),Nominative - accusative (standard),,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Related for non-human reference,,,Differentiated,No gender distinctions,No gender,None,Double negation,Plural suffix,None,,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,ObligDoubleNeg,Numeral-Noun,XOV,,Absent,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,A or P argument,SOV
Bagirmi,bagi1246,Central Sudanic,world,11.66666667,16,Neutral,,Differentiation,,Differentiation,Definite word distinct from demonstrative,"No indefinite, but definite article",,Generic-noun-based,Unrelated,,,Identical,No gender distinctions,No gender,None,Negative particle,Plural clitic,,,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,VNeg,Noun-Numeral,VOX,Noun-Relative clause,Absent,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,No second-person imperatives,Pronouns only,Not initial interrogative phrase,Final,No possessive classification,Possessive suffixes,No marking,Full reduplication only,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO
Barasana-Eduria,bara1380,"	Tucanoan",world,-0.166666667,-70.66666667,Nominative - accusative (standard),Nominative - accusative (standard),Identity,,,,,Subject affixes on verb,,Related to remote demonstratives,Three-way contrast,Identical,,3rd person singular only,Semantic,Three,Negative affix,Plural suffix,None,,No dominant order,Postpositions,,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,OXV,Noun-Relative clause,Absent,,Inflectional optative absent,Normal imperative + normal negative,Second person number-neutral,No person marking,Initial interrogative phrase,No question particle,Two classes,No possessive affixes,Head marking,No productive reduplication,No inflectional future,"Present, 2-3 remoteness distinctions",No grammatical marking,Only the A argument,No dominant order
Basque,basq1248,Basque,world,43,-3,Active-inactive,Active - inactive,Differentiation,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Subject affixes on verb,Interrogative-based,Related for all demonstratives,Three-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,"First, two-th, three-th",Marked by suffix,Noun-Adjective,Postpositions,Degree word-Adjective,Noun-Demonstrative,Genitive-Noun,NegV,Numeral-Noun,XOV,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Other position,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
Burmese,nucl1310,Lolo-Burmese,world,21,96,Nominative - accusative (standard),Nominative - accusative (standard),,And identical to 'with',,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,,Unrelated,Two-way contrast,,Identical,3rd person singular only,No gender,None,Double negation,Plural word,Various,Marked by suffix,Noun-Adjective,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,ObligDoubleNeg,Noun-Numeral,No dominant order,Relative clause-Noun,Absent,No reciprocals,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,,Dependent marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,No person marking,SOV
Burushaski,buru1296,Burushaski,world,36.5,74.5,Ergative - absolutive,Ergative - absolutive,Differentiation,And different from 'with',Identity,Demonstrative word used as definite article,,Subject affixes on verb,Interrogative-based,Related to remote demonstratives,Two-way contrast,Different inflection,Identical,3rd person singular only,Semantic,Four,Negative affix,Plural suffix,"First, two-th, three-th",Marked by reduplication,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[Neg-V],Numeral-Noun,,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,No question particle,Three to five classes,Possessive prefixes,Double marking,,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
Canela-Krah<f4>,cane1242,Ge,world,-7,-45,Neutral,None,,And identical to 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,,Interrogative-based,Unrelated,Two-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,No plural,None,,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,VNeg,,XOV,Mixed,Absent,,,Normal imperative + normal negative,Second person number-neutral,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive prefixes,Dependent marking,Productive full and partial reduplication,No inflectional future,"Present, 2-3 remoteness distinctions",No grammatical marking,Only the P argument,SOV
Central Kanuri,cent2050,Saharan,world,12,13,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Subject affixes on verb,,Unrelated,Two-way contrast,,,No gender distinctions,No gender,None,Negative affix,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Postpositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,[V-Neg],Noun-Numeral,OXV,Noun-Relative clause,Present,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
Central Moroccan Berber,cent2194,Berber,world,33,-5,Nominative - accusative (marked nominative),Neutral,Differentiation,And identical to 'with',Differentiation,,,Subject affixes on verb,,Unrelated,,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,"First, two-th, three-th",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,,Numeral-Noun,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,Two classes,Possessive suffixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO
Chamorro,cham1312,Malayo-Polynesian,world,13.45,144.75,Neutral,Ergative - absolutive,,And identical to 'with',Identity,Definite word distinct from demonstrative,,,,Unrelated,Three-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Plural word,"First, two-th, three-th",Marked by mixed or other strategies,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,,Pronouns only,Mixed,Initial,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO
Chukchi,chuk1273,Chukotkan,world,67,-173,Ergative - absolutive,Ergative - absolutive,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Unrelated,Three-way contrast,Identical,,No gender distinctions,No gender,None,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Adjective-Noun,Postpositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Mixed,Absent,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,No marking,Productive full and partial reduplication,Inflectional future exists,No past tense,Grammatical marking,Both the A and P arguments,No dominant order
Dehu,dehu1237,Malayo-Polynesian,world,-21,167.25,Active-inactive,Active - inactive,Differentiation,,Differentiation,Definite word distinct from demonstrative,,Obligatory pronouns in subject position,,,Two-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",,,"Negative word, unclear if verb or particle",Plural word,"First, two-th, three-th",,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,,Inflectional optative absent,Special imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Initial,Two classes,Possessive suffixes,,Productive full and partial reduplication,,,,No person marking,No dominant order
Eastern Armenian,nucl1235,Armenic,world,40,45,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',,Definite affix,Indefinite word distinct from 'one',Subject affixes on verb,,Related to remote demonstratives,,,Identical,No gender distinctions,No gender,None,Variation between negative word and affix,Plural suffix,"First, two-th, three-th",Marked by mixed or other strategies,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,Type 1 / Type 3,Numeral-Noun,No dominant order,Mixed,Present,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,,Full reduplication only,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,No dominant order
Eastern Oromo,east2652,Eastern Cushitic,world,9,42,Nominative - accusative (marked nominative),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Generic-noun-based,Unrelated,Two-way contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Double negation,No plural,"First, two-th, three-th",,Noun-Adjective,Postpositions,Degree word-Adjective,Noun-Demonstrative,Noun-Genitive,ObligDoubleNeg,Noun-Numeral,XOV,Noun-Relative clause,Absent,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,Two classes,No possessive affixes,Other,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SOV
Egyptian Arabic,egyp1253,West Semitic,world,30,31,Neutral,Neutral,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,Generic-noun-based,Related by gender markers,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,"First, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,OptDoubleNeg,No dominant order,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,No marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SVO
English,stan1293,Germanic,world,52,0,Neutral,Nominative - accusative (standard),Identity,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Obligatory pronouns in subject position,Generic-noun-based,Related for all demonstratives,Two-way contrast,Identical,Identical,3rd person singular only,Semantic,Three,Negative particle,Plural suffix,"First, second, three-th",No distributive numerals,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,No dominant order,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,No second-person imperatives,No person marking,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SVO
Epena,epen1239,Chocoan,world,3,-77,Ergative - absolutive,Ergative - absolutive,,,,Definite word distinct from demonstrative,"No indefinite, but definite article",Optional pronouns in subject position,,Unrelated,Two-way contrast,Different inflection,,No gender distinctions,No gender,None,Negative affix,Plural clitic,,,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,[V-Neg],Noun-Numeral,OVX,Internally headed,Absent,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,No marking,Productive full and partial reduplication,,,,No person marking,SOV
Evenki,even1259,Northern Tungusic,world,56,125,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogative-based,Unrelated,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Double negation,Plural suffix,"First, second, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,ObligDoubleNeg,Numeral-Noun,,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative present,Normal imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Final,No possessive classification,Possessive suffixes,Double marking,No productive reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SOV
Ewe,ewee1241,Gbe,world,6.333333333,0.416666667,Neutral,Neutral,Identity,And identical to 'with',,Demonstrative word used as definite article,Indefinite word distinct from 'one',Subject affixes on verb,Generic-noun-based,,Two-way contrast,,Differentiated,No gender distinctions,No gender,None,Double negation,Plural clitic,"First, two-th, three-th",,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,ObligDoubleNeg,Noun-Numeral,,Noun-Relative clause,Absent,,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,Pronouns only,Not initial interrogative phrase,Final,Two classes,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO
Fijian,fiji1243,Malayo-Polynesian,world,-17.83333333,178,Neutral,,Differentiation,And identical to 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject pronouns in different position,,Unrelated,Three-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,,,"First, two-th, three-th",Marked by prefix,Noun-Adjective,Prepositions,No dominant order,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,Pronouns and nouns,Not initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Head marking,Full reduplication only,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,No dominant order
Finnish,finn1318,Finno-Ugric,world,62,25,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Mixed,Special,Unrelated,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative auxiliary verb,Plural suffix,"First, second, three-th",No distributive numerals,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Second position,No possessive classification,Possessive suffixes,Double marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SVO
French,stan1290,Italic-Celtic,world,48,2,Neutral,Nominative - accusative (standard),Identity,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Obligatory pronouns in subject position,Generic-noun-based,Related by gender markers,No distance contrast,Different stem,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,"First, second, three-th",No distributive numerals,Noun-Adjective,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,OptDoubleNeg,Numeral-Noun,VOX,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Normal imperative + normal negative,Second singular,No person marking,Initial interrogative phrase,Initial,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SVO
Georgian,nucl1302,Georgian-Zan,world,42,44,Active-inactive,Neutral,Mixed,And different from 'with',Identity,,,Subject pronouns in different position,Interrogative-based,Related to remote demonstratives,Three-way contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Adjective-Noun,Postpositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,,No second-person imperatives,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
German,stan1295,Germanic,world,52,10,Nominative - accusative (standard),Nominative - accusative (standard),Identity,,Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Obligatory pronouns in subject position,Mixed,Related by gender markers,No distance contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,"First, two-th, three-th",Marked by preceding word,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,Type 1 / Type 2,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Normal imperative + normal negative,Second singular,No person marking,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,No dominant order
Gooniyandi,goon1238,Bunaban,world,-18.33333333,126.3333333,Ergative - absolutive,Ergative - absolutive,Differentiation,,Both expressed by juxtaposition,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,,Identical,No gender distinctions,No gender,None,Negative particle,Plural clitic,None,No distributive numerals,Noun-Adjective,Inpositions,,Demonstrative-Noun,No dominant order,NegV,Numeral-Noun,No dominant order,,Absent,Identical to reflexive,Inflectional optative absent,Special imperative + normal negative,No second-person imperatives,No person marking,,,Two classes,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,No dominant order
Halh Mongolian,halh1238,Mongolic-Khitan,world,47,105,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,,Related for all demonstratives,Two-way contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative affix,Mixed morphological plural,"First/one-th, two-th, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative present,Normal imperative + special negative,Second person number-neutral,No person marking,Not initial interrogative phrase,Final,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,No person marking,SOV
Hausa,haus1257,West Chadic,world,12,7,Neutral,Neutral,Identity,And identical to 'with',Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Subject pronouns in different position,Generic-noun-based,Unrelated,Four-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Adjective-Noun,Prepositions,Adjective-Degree word,Mixed,Noun-Genitive,OptDoubleNeg,Noun-Numeral,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular,Pronouns only,Mixed,Final,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO
Hindi,hind1269,Indo-Iranian,world,25,77,Tripartite,Tripartite,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,,Special,Related for all demonstratives,,,Identical,No gender distinctions,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Correlative,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Initial,No possessive classification,,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SOV
Hixkary<e1>na,hixk1239,Cariban,world,-1,-59,Neutral,Neutral,Differentiation,And different from 'with',Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related for all demonstratives,Three-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic,Two,Negative affix,Plural word,None,No distributive numerals,Noun-Adjective,Postpositions,Adjective-Degree word,,Genitive-Noun,[V-Neg],Numeral-Noun,OVX,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive prefixes,Head marking,No productive reduplication,No inflectional future,"Present, 2-3 remoteness distinctions",Grammatical marking,Both the A and P arguments,OVS
Hokkaido Ainu,ainu1240,Ainu,world,43,143,Neutral,Neutral,Differentiation,And different from 'with',Differentiation,,,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,Different stem,,No gender distinctions,No gender,None,Negative particle,Plural suffix,None,Marked by following word,Adjective-Noun,Postpositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second person number-neutral,Pronouns only,Not initial interrogative phrase,Final,No possessive classification,Possessive prefixes,Head marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,SOV
Hungarian,hung1274,Finno-Ugric,world,47,20,Nominative - accusative (standard),Nominative - accusative (standard),Mixed,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Subject affixes on verb,Interrogative-based,Related for non-human reference,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Plural suffix,"First, second, three-th",Marked by reduplication,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Mixed,Present,,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,Pronouns only,Not initial interrogative phrase,,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,No dominant order
Imbabura Highland Quichua,imba1240,Quechuan,world,0.333333333,-78,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Related for non-human reference,,,,No gender distinctions,No gender,None,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,XOV,Relative clause-Noun,Present,Mixed,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,Full reduplication only,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,SOV
Imonda,imon1245,Waris,world,-3.333333333,141.1666667,Active-inactive,Active - inactive,Differentiation,,Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,,Unrelated,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,No plural,None,No distributive numerals,Noun-Adjective,Postpositions,No dominant order,Mixed,Genitive-Noun,NegV,Noun-Numeral,,Mixed,Absent,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second person number-neutral,No person marking,,,Two classes,No possessive affixes,Double marking,,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,No person marking,
Indonesian,indo1316,Malayo-Polynesian,world,0,106,Neutral,Neutral,Mixed,And identical to 'with',Identity,Demonstrative word used as definite article,"No indefinite, but definite article",Obligatory pronouns in subject position,Generic-noun-based,Unrelated,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,"Negative word, unclear if verb or particle",Plural complete reduplication,"First/one-th, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,Degree word-Adjective,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Mixed,In either of two positions,No possessive classification,No possessive affixes,No marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,Only the P argument,SVO
